"center","left","right","steering","x","x1","velocity"
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_57_915.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_57_915.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_57_915.jpg,0,1,0,30.19055
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_57_982.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_57_982.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_57_982.jpg,0,1,0,30.19052
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_061.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_061.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_061.jpg,0,1,0,30.19053
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_129.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_129.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_129.jpg,0,1,0,30.19098
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_197.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_197.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_197.jpg,0,1,0,30.19006
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_276.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_276.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_276.jpg,0,1,0,30.19019
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_345.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_345.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_345.jpg,-0.1,1,0,30.18745
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_423.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_423.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_423.jpg,-0.3,1,0,30.1692
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_498.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_498.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_498.jpg,-0.5000001,1,0,30.14586
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_577.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_577.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_577.jpg,0,1,0,30.18404
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_659.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_659.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_659.jpg,0,1,0,30.18927
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_738.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_738.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_738.jpg,0,1,0,30.19027
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_813.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_813.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_813.jpg,0,1,0,30.19048
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_880.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_880.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_880.jpg,0,1,0,30.19055
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_58_950.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_58_950.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_58_950.jpg,-0.1,1,0,30.1887
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_027.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_027.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_027.jpg,-0.3,1,0,30.16984
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_096.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_096.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_096.jpg,0,1,0,30.18989
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_161.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_161.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_161.jpg,0,1,0,30.19169
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_230.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_230.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_230.jpg,0,1,0,30.18987
